UnitID,Institution Name,Total  enrollment (DRVEF2016),ZIP code (HD2016),Grand total (EF2016  All students  Undergraduate  Degree/certificate-seeking total),Grand total (EF2016  All students  Graduate and First professional)
190150,Columbia University in the City of New York,29372,10027,8124,21248
190512,CUNY Bernard M Baruch College,18286,10010,14858,3076
190521,CUNY Borough of Manhattan Community College,26748,10007,25548,
190567,CUNY City College,16048,10031,12609,2731
190576,CUNY Graduate School and University Center,7378,10016,1646,5584
190594,CUNY Hunter College,22993,10065,15632,6270
190600,CUNY John Jay College of Criminal Justice,14430,10019,12175,1756
190637,CUNY Lehman College,13329,10468,10311,2009
191126,Fashion Institute of Technology,9261,10001,8168,176
191241,Fordham University,15582,10458,9096,6324
193308,Monroe College,6823,10468,5776,935
193900,New York University,50550,10012,25716,24415
194310,Pace University-New York,13245,10038,8384,4331
193654,The New School,10301,10011,7007,3195
196592,Touro College,13528,10018,6370,6441